"rep","Time","Pop_size","Pop_est"
1,1,12,12
1,2,9,9
1,3,6,6
1,4,6,6
1,5,4,4
1,6,9,9
1,7,14,14
1,8,13,13
1,9,10,10
1,10,9,9
1,11,8,8
1,12,8,8
1,13,6,6
1,14,6,6
1,15,5,5
1,16,4,4
1,17,4,4
1,18,5,5
1,19,12,12
1,20,11,11
1,21,11,11
1,22,11,11
1,23,11,11
1,24,9,9
1,25,9,9
1,26,7,7
1,27,7,7
1,28,6,6
1,29,5,5
1,30,10,10
1,31,20,20
1,32,18,18
1,33,17,17
1,34,16,16
1,35,16,16
1,36,16,16
1,37,16,16
1,38,16,16
1,39,15,15
1,40,13,13
1,41,12,12
1,42,25,25
1,43,39,39
1,44,25,25
1,45,23,23
1,46,21,21
1,47,20,20
1,48,20,20
2,1,13,13
2,2,12,12
2,3,9,9
2,4,6,6
2,5,3,3
2,6,12,12
2,7,24,24
2,8,17,17
2,9,15,15
2,10,13,13
2,11,11,11
2,12,11,11
2,13,11,11
2,14,8,8
2,15,8,8
2,16,6,6
2,17,4,4
2,18,5,5
2,19,9,9
2,20,7,7
2,21,4,4
2,22,4,4
2,23,4,4
2,24,4,4
2,25,4,4
2,26,4,4
2,27,2,2
2,28,2,2
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
3,1,13,13
3,2,12,12
3,3,9,9
3,4,7,7
3,5,5,5
3,6,8,8
3,7,17,17
3,8,14,14
3,9,13,13
3,10,12,12
3,11,12,12
3,12,9,9
3,13,9,9
3,14,7,7
3,15,6,6
3,16,5,5
3,17,3,3
3,18,8,8
3,19,12,12
3,20,9,9
3,21,9,9
3,22,8,8
3,23,7,7
3,24,7,7
3,25,7,7
3,26,6,6
3,27,5,5
3,28,3,3
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,1,13,13
4,2,12,12
4,3,10,10
4,4,9,9
4,5,7,7
4,6,13,13
4,7,26,26
4,8,18,18
4,9,13,13
4,10,12,12
4,11,12,12
4,12,11,11
4,13,10,10
4,14,9,9
4,15,9,9
4,16,7,7
4,17,5,5
4,18,12,12
4,19,27,27
4,20,25,25
4,21,23,23
4,22,22,22
4,23,21,21
4,24,21,21
4,25,21,21
4,26,20,20
4,27,20,20
4,28,16,16
4,29,13,13
4,30,33,33
4,31,74,74
4,32,57,57
4,33,54,54
4,34,49,49
4,35,47,47
4,36,44,44
4,37,43,43
4,38,40,40
4,39,34,34
4,40,30,30
4,41,26,26
4,42,46,46
4,43,91,91
4,44,74,74
4,45,66,66
4,46,62,62
4,47,57,57
4,48,55,55
5,1,12,12
5,2,11,11
5,3,10,10
5,4,9,9
5,5,3,3
5,6,9,9
5,7,16,16
5,8,14,14
5,9,10,10
5,10,10,10
5,11,8,8
5,12,8,8
5,13,8,8
5,14,7,7
5,15,7,7
5,16,4,4
5,17,3,3
5,18,4,4
5,19,8,8
5,20,7,7
5,21,7,7
5,22,7,7
5,23,7,7
5,24,7,7
5,25,7,7
5,26,7,7
5,27,7,7
5,28,5,5
5,29,5,5
5,30,10,10
5,31,22,22
5,32,18,18
5,33,15,15
5,34,13,13
5,35,13,13
5,36,12,12
5,37,12,12
5,38,10,10
5,39,9,9
5,40,8,8
5,41,7,7
5,42,16,16
5,43,27,27
5,44,23,23
5,45,18,18
5,46,16,16
5,47,14,14
5,48,13,13
6,1,11,11
6,2,10,10
6,3,8,8
6,4,8,8
6,5,8,8
6,6,16,16
6,7,29,29
6,8,24,24
6,9,21,21
6,10,19,19
6,11,17,17
6,12,17,17
6,13,16,16
6,14,16,16
6,15,15,15
6,16,10,10
6,17,9,9
6,18,17,17
6,19,36,36
6,20,28,28
6,21,21,21
6,22,18,18
6,23,18,18
6,24,17,17
6,25,17,17
6,26,17,17
6,27,16,16
6,28,15,15
6,29,12,12
6,30,22,22
6,31,44,44
6,32,34,34
6,33,31,31
6,34,23,23
6,35,21,21
6,36,20,20
6,37,20,20
6,38,20,20
6,39,19,19
6,40,16,16
6,41,12,12
6,42,17,17
6,43,33,33
6,44,25,25
6,45,22,22
6,46,20,20
6,47,19,19
6,48,19,19
7,1,13,13
7,2,13,13
7,3,12,12
7,4,10,10
7,5,9,9
7,6,22,22
7,7,41,41
7,8,37,37
7,9,34,34
7,10,30,30
7,11,28,28
7,12,25,25
7,13,24,24
7,14,22,22
7,15,19,19
7,16,15,15
7,17,13,13
7,18,31,31
7,19,63,63
