"rep","Time","Pop_size","Pop_est"
1,1,25,25
1,2,22,22
1,3,18,18
1,4,14,14
1,5,11,11
1,6,20,20
1,7,38,38
1,8,32,32
1,9,30,30
1,10,25,25
1,11,24,24
1,12,23,23
1,13,23,23
1,14,22,22
1,15,19,19
1,16,16,16
1,17,14,14
1,18,33,33
1,19,65,65
1,20,56,56
1,21,45,45
1,22,40,40
1,23,39,39
1,24,39,39
1,25,39,39
1,26,37,37
1,27,33,33
1,28,29,29
1,29,26,26
1,30,63,63
1,31,125,125
1,32,107,107
1,33,93,93
1,34,81,81
1,35,78,78
1,36,75,75
1,37,74,74
1,38,68,68
1,39,65,65
1,40,54,54
1,41,40,40
1,42,66,66
1,43,137,137
1,44,119,119
1,45,101,101
1,46,95,95
1,47,88,88
1,48,83,83
2,1,25,25
2,2,21,21
2,3,17,17
2,4,14,14
2,5,10,10
2,6,15,15
2,7,37,37
2,8,30,30
2,9,27,27
2,10,23,23
2,11,22,22
2,12,20,20
2,13,20,20
2,14,20,20
2,15,17,17
2,16,15,15
2,17,12,12
2,18,24,24
2,19,60,60
2,20,50,50
2,21,45,45
2,22,41,41
2,23,36,36
2,24,35,35
2,25,35,35
2,26,34,34
2,27,29,29
2,28,24,24
2,29,18,18
2,30,39,39
2,31,86,86
2,32,77,77
2,33,70,70
2,34,62,62
2,35,55,55
2,36,54,54
2,37,51,51
2,38,48,48
2,39,40,40
2,40,31,31
2,41,24,24
2,42,47,47
2,43,83,83
2,44,72,72
2,45,62,62
2,46,54,54
2,47,53,53
2,48,47,47
3,1,27,27
3,2,24,24
3,3,22,22
3,4,19,19
3,5,15,15
3,6,30,30
3,7,43,43
3,8,40,40
3,9,33,33
3,10,29,29
3,11,26,26
3,12,26,26
3,13,26,26
3,14,23,23
3,15,20,20
3,16,17,17
3,17,11,11
3,18,25,25
3,19,53,53
3,20,45,45
3,21,41,41
3,22,35,35
3,23,35,35
3,24,34,34
3,25,33,33
3,26,32,32
3,27,27,27
3,28,18,18
3,29,13,13
3,30,25,25
3,31,49,49
3,32,37,37
3,33,34,34
3,34,30,30
3,35,28,28
3,36,28,28
3,37,27,27
3,38,24,24
3,39,21,21
3,40,18,18
3,41,13,13
3,42,19,19
3,43,42,42
3,44,29,29
3,45,26,26
3,46,23,23
3,47,20,20
3,48,20,20
4,1,24,24
4,2,22,22
4,3,22,22
4,4,16,16
4,5,14,14
4,6,26,26
4,7,58,58
4,8,48,48
4,9,41,41
4,10,37,37
4,11,35,35
4,12,33,33
4,13,30,30
4,14,28,28
4,15,23,23
4,16,16,16
4,17,9,9
4,18,18,18
4,19,34,34
4,20,29,29
4,21,24,24
4,22,22,22
4,23,20,20
4,24,17,17
4,25,17,17
4,26,17,17
4,27,16,16
4,28,15,15
4,29,13,13
4,30,20,20
4,31,34,34
4,32,33,33
4,33,29,29
4,34,28,28
4,35,25,25
4,36,25,25
4,37,24,24
4,38,24,24
4,39,24,24
4,40,18,18
4,41,12,12
4,42,24,24
4,43,50,50
4,44,40,40
4,45,29,29
4,46,28,28
4,47,24,24
4,48,21,21
5,1,25,25
5,2,24,24
5,3,21,21
5,4,14,14
5,5,12,12
5,6,15,15
5,7,29,29
5,8,22,22
5,9,18,18
5,10,16,16
5,11,16,16
5,12,16,16
5,13,16,16
5,14,15,15
5,15,11,11
5,16,10,10
5,17,8,8
5,18,14,14
5,19,30,30
