"rep","Time","Pop_size","Pop_est"
1,1,224,224
1,2,109,109
1,3,97,97
1,4,77,77
1,5,64,64
1,6,121,121
1,7,157,157
1,8,143,143
1,9,133,133
1,10,125,125
1,11,115,115
1,12,109,109
1,13,102,102
1,14,99,99
1,15,88,88
1,16,67,67
1,17,55,55
1,18,115,115
1,19,142,142
1,20,134,134
1,21,120,120
1,22,108,108
1,23,102,102
1,24,97,97
1,25,96,96
1,26,95,95
1,27,85,85
1,28,75,75
1,29,58,58
1,30,100,100
1,31,129,129
1,32,134,134
1,33,119,119
1,34,104,104
1,35,102,102
1,36,99,99
1,37,97,97
1,38,92,92
1,39,88,88
1,40,74,74
1,41,58,58
1,42,111,111
1,43,137,137
1,44,146,146
1,45,131,131
1,46,110,110
1,47,104,104
1,48,102,102
1,49,99,99
1,50,93,93
1,51,85,85
1,52,80,80
1,53,66,66
1,54,140,140
1,55,191,191
1,56,207,207
1,57,179,179
1,58,159,159
1,59,148,148
1,60,143,143
2,1,223,223
2,2,124,124
2,3,108,108
2,4,92,92
2,5,60,60
2,6,122,122
2,7,161,161
2,8,137,137
2,9,113,113
2,10,92,92
2,11,89,89
2,12,85,85
2,13,83,83
2,14,78,78
2,15,73,73
2,16,64,64
2,17,52,52
2,18,110,110
2,19,144,144
2,20,131,131
2,21,114,114
2,22,99,99
2,23,94,94
2,24,92,92
2,25,85,85
2,26,81,81
2,27,73,73
2,28,68,68
2,29,57,57
2,30,112,112
2,31,137,137
2,32,122,122
2,33,105,105
2,34,90,90
2,35,80,80
2,36,79,79
2,37,74,74
2,38,71,71
2,39,68,68
2,40,63,63
2,41,52,52
2,42,105,105
2,43,115,115
2,44,120,120
2,45,106,106
2,46,93,93
2,47,83,83
2,48,80,80
2,49,75,75
2,50,69,69
2,51,65,65
2,52,58,58
2,53,45,45
2,54,88,88
2,55,101,101
2,56,99,99
2,57,82,82
2,58,74,74
2,59,73,73
2,60,72,72
3,1,222,222
3,2,113,113
3,3,97,97
3,4,72,72
3,5,49,49
3,6,107,107
3,7,121,121
3,8,121,121
3,9,109,109
3,10,95,95
3,11,88,88
3,12,87,87
3,13,83,83
3,14,78,78
3,15,71,71
3,16,60,60
3,17,37,37
3,18,82,82
3,19,99,99
