"rep","Time","Pop_size"
1,1,224
1,2,201
1,3,163
1,4,128
1,5,104
1,6,231
1,7,285
1,8,318
1,9,272
1,10,234
1,11,215
1,12,205
1,13,198
1,14,185
1,15,168
1,16,134
1,17,111
1,18,234
1,19,306
1,20,344
1,21,301
1,22,268
1,23,251
1,24,242
1,25,237
1,26,219
1,27,195
1,28,167
1,29,147
1,30,334
1,31,434
1,32,480
1,33,415
1,34,373
1,35,344
1,36,330
1,37,324
1,38,313
1,39,275
1,40,235
1,41,187
1,42,402
1,43,518
1,44,577
1,45,501
1,46,453
1,47,413
1,48,393
1,49,383
1,50,364
1,51,332
1,52,270
1,53,221
1,54,543
1,55,665
1,56,733
1,57,636
1,58,563
1,59,524
1,60,498
2,1,228
2,2,206
2,3,170
2,4,137
2,5,103
2,6,233
2,7,299
2,8,348
2,9,306
2,10,279
2,11,256
2,12,237
2,13,232
2,14,220
2,15,194
2,16,154
2,17,124
2,18,294
2,19,351
2,20,416
2,21,364
2,22,317
2,23,304
2,24,293
2,25,284
2,26,275
2,27,251
2,28,208
2,29,163
2,30,367
2,31,463
2,32,518
2,33,445
2,34,412
2,35,382
2,36,370
2,37,355
2,38,340
2,39,308
2,40,253
2,41,202
2,42,466
2,43,574
2,44,638
2,45,543
2,46,481
2,47,450
2,48,427
2,49,413
2,50,393
2,51,355
2,52,291
2,53,237
2,54,511
2,55,654
2,56,738
2,57,631
2,58,564
2,59,531
2,60,507
3,1,223
3,2,204
3,3,181
3,4,139
3,5,99
3,6,243
3,7,300
3,8,326
3,9,289
3,10,246
3,11,228
3,12,219
3,13,212
3,14,196
3,15,179
3,16,147
3,17,123
3,18,293
3,19,339
3,20,393
3,21,353
3,22,322
3,23,310
3,24,298
3,25,292
3,26,276
3,27,254
3,28,204
3,29,166
3,30,389
3,31,497
3,32,546
3,33,468
3,34,421
3,35,396
3,36,381
3,37,377
3,38,354
3,39,321
3,40,261
3,41,218
3,42,517
3,43,663
3,44,740
3,45,638
3,46,577
3,47,526
3,48,506
3,49,490
3,50,456
3,51,407
3,52,319
3,53,264
3,54,576
3,55,745
3,56,842
3,57,739
3,58,673
3,59,627
3,60,589
4,1,222
4,2,201
4,3,174
4,4,139
4,5,99
4,6,232
4,7,285
4,8,317
4,9,278
4,10,243
4,11,227
4,12,210
4,13,199
4,14,188
4,15,169
4,16,131
4,17,106
4,18,260
4,19,344
4,20,402
4,21,352
4,22,318
4,23,300
4,24,284
4,25,280
4,26,269
4,27,246
4,28,207
4,29,166
4,30,349
4,31,451
4,32,527
4,33,462
4,34,401
4,35,375
4,36,360
4,37,351
4,38,334
4,39,305
4,40,245
4,41,195
4,42,462
4,43,570
4,44,659
4,45,578
4,46,518
4,47,485
4,48,472
4,49,462
4,50,440
4,51,397
4,52,318
4,53,256
4,54,572
4,55,754
4,56,870
4,57,753
4,58,679
4,59,639
4,60,615
5,1,225
5,2,202
5,3,176
5,4,131
5,5,103
5,6,231
5,7,307
5,8,348
5,9,306
5,10,264
5,11,247
5,12,232
5,13,226
5,14,209
5,15,189
5,16,155
5,17,121
5,18,266
5,19,337
5,20,403
5,21,345
5,22,312
5,23,293
5,24,280
