"rep","Time","Pop_size","Pop_est"
1,1,28,28
1,2,18,18
1,3,13,13
1,4,12,12
1,5,6,6
1,6,12,12
1,7,20,20
1,8,11,11
1,9,9,9
1,10,8,8
1,11,7,7
1,12,7,7
1,13,7,7
1,14,7,7
1,15,4,4
1,16,2,2
1,17,0,0
1,18,0,0
1,19,0,0
1,20,0,0
1,21,0,0
1,22,0,0
1,23,0,0
1,24,0,0
1,25,0,0
1,26,0,0
1,27,0,0
1,28,0,0
1,29,0,0
1,30,0,0
1,31,0,0
1,32,0,0
1,33,0,0
1,34,0,0
1,35,0,0
1,36,0,0
1,37,0,0
1,38,0,0
1,39,0,0
1,40,0,0
1,41,0,0
1,42,0,0
1,43,0,0
1,44,0,0
1,45,0,0
1,46,0,0
1,47,0,0
1,48,0,0
2,1,28,28
2,2,13,13
2,3,11,11
2,4,8,8
2,5,7,7
2,6,10,10
2,7,17,17
2,8,15,15
2,9,12,12
2,10,9,9
2,11,8,8
2,12,8,8
2,13,8,8
2,14,7,7
2,15,6,6
2,16,4,4
2,17,3,3
2,18,5,5
2,19,9,9
2,20,9,9
2,21,8,8
2,22,7,7
2,23,6,6
2,24,6,6
2,25,6,6
2,26,6,6
2,27,5,5
2,28,4,4
2,29,2,2
2,30,9,9
2,31,17,17
2,32,13,13
2,33,11,11
2,34,10,10
2,35,10,10
2,36,9,9
2,37,9,9
2,38,9,9
2,39,8,8
2,40,5,5
2,41,5,5
2,42,9,9
2,43,14,14
2,44,15,15
2,45,14,14
2,46,13,13
2,47,12,12
2,48,12,12
3,1,27,27
3,2,12,12
3,3,12,12
3,4,11,11
3,5,7,7
3,6,16,16
3,7,29,29
3,8,30,30
3,9,26,26
3,10,23,23
3,11,21,21
3,12,21,21
3,13,18,18
3,14,18,18
3,15,14,14
3,16,12,12
3,17,7,7
3,18,13,13
3,19,20,20
3,20,23,23
3,21,21,21
3,22,20,20
3,23,20,20
3,24,19,19
3,25,19,19
3,26,19,19
3,27,17,17
3,28,15,15
3,29,12,12
3,30,22,22
3,31,39,39
3,32,48,48
3,33,41,41
3,34,37,37
3,35,32,32
3,36,32,32
3,37,32,32
3,38,30,30
3,39,27,27
3,40,24,24
3,41,13,13
3,42,22,22
3,43,42,42
3,44,60,60
3,45,51,51
3,46,45,45
3,47,40,40
3,48,40,40
4,1,29,29
4,2,11,11
4,3,8,8
4,4,6,6
4,5,5,5
4,6,6,6
4,7,11,11
4,8,14,14
4,9,13,13
4,10,13,13
4,11,12,12
4,12,12,12
4,13,12,12
4,14,11,11
4,15,8,8
4,16,8,8
4,17,7,7
4,18,14,14
4,19,31,31
4,20,57,57
4,21,50,50
4,22,48,48
4,23,45,45
4,24,43,43
4,25,42,42
4,26,39,39
4,27,35,35
4,28,32,32
4,29,28,28
4,30,52,52
4,31,92,92
4,32,154,154
4,33,133,133
4,34,114,114
4,35,109,109
4,36,105,105
4,37,102,102
4,38,98,98
4,39,89,89
4,40,75,75
4,41,52,52
4,42,104,104
4,43,204,204
4,44,358,358
4,45,305,305
4,46,268,268
4,47,254,254
4,48,247,247
5,1,26,26
5,2,16,16
5,3,12,12
5,4,10,10
5,5,10,10
5,6,18,18
5,7,36,36
5,8,58,58
5,9,51,51
5,10,47,47
5,11,44,44
5,12,43,43
5,13,43,43
5,14,42,42
5,15,37,37
5,16,33,33
5,17,22,22
5,18,44,44
5,19,71,71
5,20,117,117
5,21,97,97
5,22,86,86
5,23,81,81
5,24,77,77
5,25,77,77
5,26,73,73
5,27,66,66
5,28,50,50
5,29,44,44
5,30,86,86
5,31,148,148
5,32,222,222
5,33,193,193
5,34,172,172
5,35,164,164
5,36,160,160
5,37,159,159
5,38,147,147
5,39,126,126
5,40,96,96
5,41,84,84
5,42,152,152
5,43,264,264
5,44,468,468
5,45,403,403
5,46,358,358
5,47,345,345
5,48,328,328
6,1,28,28
6,2,21,21
6,3,21,21
6,4,17,17
6,5,12,12
6,6,27,27
6,7,54,54
6,8,48,48
6,9,42,42
6,10,37,37
6,11,35,35
6,12,34,34
6,13,34,34
6,14,30,30
6,15,28,28
6,16,24,24
6,17,19,19
6,18,31,31
6,19,64,64
6,20,83,83
6,21,77,77
6,22,66,66
6,23,63,63
6,24,62,62
6,25,62,62
6,26,58,58
6,27,54,54
6,28,49,49
6,29,43,43
6,30,84,84
6,31,146,146
6,32,195,195
6,33,173,173
6,34,154,154
6,35,140,140
6,36,136,136
6,37,130,130
6,38,127,127
6,39,112,112
6,40,92,92
6,41,67,67
6,42,134,134
6,43,260,260
6,44,418,418
6,45,362,362
6,46,311,311
6,47,294,294
6,48,283,283
7,1,22,22
7,2,15,15
7,3,14,14
7,4,10,10
7,5,8,8
7,6,22,22
7,7,36,36
7,8,28,28
7,9,27,27
7,10,24,24
7,11,19,19
7,12,18,18
7,13,18,18
7,14,17,17
7,15,14,14
7,16,13,13
7,17,8,8
7,18,23,23
7,19,34,34
7,20,27,27
7,21,26,26
7,22,21,21
7,23,20,20
7,24,20,20
7,25,20,20
7,26,19,19
7,27,15,15
7,28,11,11
7,29,10,10
7,30,19,19
7,31,41,41
7,32,34,34
7,33,31,31
7,34,28,28
7,35,27,27
7,36,26,26
7,37,26,26
7,38,25,25
7,39,23,23
7,40,20,20
7,41,15,15
7,42,35,35
7,43,63,63
7,44,48,48
7,45,43,43
7,46,38,38
7,47,36,36
7,48,33,33
8,1,25,25
8,2,14,14
8,3,11,11
8,4,9,9
8,5,6,6
8,6,12,12
8,7,21,21
8,8,17,17
8,9,15,15
8,10,14,14
8,11,14,14
8,12,13,13
8,13,13,13
8,14,12,12
8,15,10,10
8,16,8,8
8,17,7,7
8,18,11,11
8,19,23,23
8,20,28,28
8,21,23,23
8,22,22,22
8,23,22,22
8,24,20,20
8,25,20,20
8,26,20,20
8,27,16,16
8,28,11,11
8,29,9,9
8,30,16,16
8,31,29,29
8,32,29,29
8,33,24,24
8,34,24,24
8,35,21,21
8,36,20,20
8,37,18,18
8,38,15,15
8,39,13,13
8,40,11,11
8,41,10,10
8,42,20,20
8,43,42,42
8,44,42,42
8,45,39,39
8,46,37,37
8,47,34,34
8,48,33,33
9,1,27,27
9,2,13,13
9,3,13,13
9,4,9,9
9,5,9,9
9,6,21,21
9,7,36,36
9,8,35,35
9,9,32,32
9,10,27,27
9,11,25,25
9,12,23,23
9,13,23,23
9,14,21,21
9,15,20,20
9,16,17,17
9,17,13,13
9,18,25,25
9,19,55,55
9,20,56,56
9,21,50,50
9,22,47,47
9,23,46,46
9,24,45,45
9,25,44,44
9,26,40,40
9,27,37,37
9,28,29,29
9,29,22,22
9,30,44,44
9,31,73,73
9,32,80,80
9,33,68,68
9,34,64,64
9,35,62,62
9,36,61,61
9,37,60,60
9,38,60,60
9,39,55,55
9,40,47,47
9,41,35,35
9,42,67,67
9,43,140,140
9,44,201,201
9,45,168,168
9,46,154,154
9,47,148,148
9,48,140,140
10,1,25,25
10,2,14,14
10,3,12,12
10,4,9,9
10,5,6,6
10,6,16,16
10,7,32,32
10,8,38,38
10,9,31,31
10,10,25,25
10,11,25,25
10,12,24,24
10,13,24,24
10,14,20,20
10,15,18,18
10,16,13,13
10,17,10,10
10,18,13,13
10,19,26,26
10,20,44,44
10,21,36,36
10,22,34,34
10,23,33,33
10,24,29,29
10,25,29,29
10,26,28,28
10,27,24,24
10,28,17,17
10,29,16,16
10,30,30,30
10,31,57,57
10,32,90,90
10,33,81,81
10,34,73,73
10,35,68,68
10,36,68,68
10,37,66,66
10,38,65,65
10,39,58,58
10,40,45,45
10,41,33,33
10,42,65,65
10,43,126,126
10,44,232,232
10,45,204,204
10,46,183,183
10,47,175,175
10,48,168,168
11,1,27,27
11,2,16,16
11,3,14,14
11,4,9,9
11,5,7,7
11,6,12,12
11,7,27,27
11,8,22,22
11,9,20,20
11,10,14,14
11,11,13,13
11,12,13,13
11,13,13,13
11,14,13,13
11,15,10,10
11,16,5,5
11,17,4,4
11,18,7,7
11,19,17,17
11,20,12,12
11,21,10,10
11,22,8,8
11,23,6,6
11,24,6,6
11,25,6,6
11,26,6,6
11,27,6,6
11,28,5,5
11,29,5,5
11,30,7,7
11,31,14,14
11,32,9,9
11,33,8,8
11,34,8,8
11,35,6,6
11,36,6,6
11,37,6,6
11,38,6,6
11,39,6,6
11,40,5,5
11,41,5,5
11,42,9,9
11,43,18,18
11,44,13,13
11,45,12,12
11,46,8,8
11,47,7,7
11,48,6,6
