"rep","Time","Pop_size","Pop_est"
1,1,25,25
1,2,10,10
1,3,9,9
1,4,8,8
1,5,5,5
1,6,9,9
1,7,26,26
1,8,18,18
1,9,15,15
1,10,14,14
1,11,14,14
1,12,14,14
1,13,14,14
1,14,14,14
1,15,14,14
1,16,11,11
1,17,10,10
1,18,21,21
1,19,31,31
1,20,26,26
1,21,22,22
1,22,21,21
1,23,18,18
1,24,18,18
1,25,17,17
1,26,16,16
1,27,12,12
1,28,8,8
1,29,7,7
1,30,12,12
1,31,18,18
1,32,14,14
1,33,14,14
1,34,14,14
1,35,12,12
1,36,12,12
1,37,12,12
1,38,11,11
1,39,9,9
1,40,8,8
1,41,5,5
1,42,11,11
1,43,14,14
1,44,12,12
1,45,9,9
1,46,7,7
1,47,6,6
1,48,6,6
2,1,25,25
2,2,11,11
2,3,11,11
2,4,10,10
2,5,9,9
2,6,22,22
2,7,50,50
2,8,56,56
2,9,46,46
2,10,41,41
2,11,36,36
2,12,34,34
2,13,34,34
2,14,33,33
2,15,30,30
2,16,23,23
2,17,18,18
2,18,34,34
2,19,61,61
2,20,102,102
2,21,95,95
2,22,90,90
2,23,86,86
2,24,81,81
2,25,80,80
2,26,74,74
2,27,69,69
2,28,59,59
2,29,45,45
2,30,95,95
2,31,189,189
2,32,302,302
2,33,267,267
2,34,238,238
2,35,222,222
2,36,213,213
2,37,203,203
2,38,192,192
2,39,171,171
2,40,144,144
2,41,109,109
2,42,210,210
2,43,394,394
2,44,681,681
2,45,619,619
2,46,536,536
2,47,497,497
2,48,471,471
3,1,21,21
3,2,10,10
3,3,9,9
3,4,7,7
3,5,6,6
3,6,10,10
3,7,22,22
3,8,18,18
3,9,17,17
3,10,15,15
3,11,15,15
3,12,13,13
3,13,12,12
3,14,11,11
3,15,10,10
3,16,7,7
3,17,5,5
3,18,8,8
3,19,10,10
3,20,11,11
3,21,8,8
3,22,7,7
3,23,7,7
3,24,7,7
3,25,7,7
3,26,5,5
3,27,4,4
3,28,4,4
3,29,2,2
3,30,6,6
3,31,9,9
3,32,6,6
3,33,6,6
3,34,5,5
3,35,4,4
3,36,4,4
3,37,4,4
3,38,4,4
3,39,3,3
3,40,2,2
3,41,2,2
3,42,3,3
3,43,8,8
3,44,8,8
3,45,8,8
3,46,7,7
3,47,7,7
3,48,7,7
4,1,25,25
4,2,11,11
4,3,11,11
4,4,11,11
4,5,9,9
4,6,20,20
4,7,40,40
4,8,36,36
4,9,29,29
4,10,27,27
4,11,24,24
4,12,23,23
4,13,22,22
4,14,22,22
4,15,18,18
4,16,11,11
4,17,8,8
4,18,16,16
4,19,26,26
4,20,23,23
4,21,16,16
4,22,15,15
4,23,15,15
4,24,14,14
4,25,13,13
4,26,12,12
4,27,11,11
4,28,9,9
4,29,9,9
4,30,15,15
4,31,22,22
4,32,29,29
4,33,26,26
4,34,24,24
4,35,21,21
4,36,19,19
4,37,19,19
4,38,19,19
4,39,17,17
4,40,15,15
4,41,10,10
4,42,24,24
4,43,57,57
4,44,85,85
4,45,71,71
4,46,61,61
4,47,60,60
4,48,57,57
5,1,28,28
5,2,22,22
5,3,18,18
5,4,16,16
5,5,12,12
5,6,18,18
5,7,29,29
5,8,28,28
5,9,26,26
5,10,23,23
5,11,23,23
5,12,22,22
5,13,22,22
5,14,21,21
5,15,21,21
5,16,18,18
5,17,16,16
5,18,36,36
5,19,75,75
5,20,119,119
5,21,110,110
5,22,97,97
5,23,96,96
5,24,91,91
5,25,91,91
5,26,85,85
5,27,79,79
5,28,65,65
5,29,53,53
5,30,88,88
5,31,169,169
5,32,246,246
5,33,212,212
5,34,187,187
5,35,178,178
5,36,166,166
5,37,162,162
5,38,154,154
5,39,140,140
5,40,110,110
5,41,89,89
5,42,181,181
5,43,343,343
5,44,555,555
5,45,494,494
5,46,438,438
5,47,414,414
5,48,404,404
6,1,28,28
6,2,14,14
6,3,12,12
6,4,9,9
6,5,7,7
6,6,11,11
6,7,29,29
6,8,29,29
6,9,28,28
6,10,24,24
6,11,24,24
6,12,24,24
6,13,22,22
6,14,19,19
6,15,16,16
6,16,15,15
6,17,10,10
6,18,14,14
6,19,28,28
6,20,36,36
6,21,33,33
6,22,27,27
6,23,24,24
6,24,22,22
6,25,21,21
6,26,21,21
6,27,19,19
6,28,15,15
6,29,11,11
6,30,21,21
6,31,36,36
6,32,36,36
6,33,32,32
6,34,28,28
6,35,27,27
6,36,27,27
6,37,27,27
6,38,27,27
6,39,25,25
6,40,19,19
6,41,16,16
6,42,27,27
6,43,51,51
6,44,90,90
6,45,82,82
6,46,70,70
6,47,69,69
6,48,66,66
7,1,27,27
7,2,21,21
7,3,21,21
7,4,18,18
7,5,12,12
7,6,21,21
7,7,34,34
7,8,39,39
7,9,36,36
7,10,31,31
7,11,27,27
7,12,25,25
7,13,22,22
7,14,18,18
7,15,17,17
7,16,12,12
7,17,11,11
7,18,20,20
7,19,40,40
7,20,75,75
7,21,67,67
7,22,60,60
7,23,54,54
7,24,50,50
7,25,49,49
7,26,47,47
7,27,43,43
7,28,43,43
7,29,38,38
7,30,76,76
7,31,159,159
7,32,293,293
7,33,263,263
7,34,231,231
7,35,216,216
7,36,202,202
7,37,199,199
7,38,177,177
7,39,156,156
7,40,127,127
7,41,100,100
7,42,201,201
7,43,371,371
7,44,681,681
7,45,602,602
7,46,531,531
7,47,504,504
7,48,488,488
8,1,28,28
8,2,18,18
8,3,18,18
8,4,11,11
8,5,10,10
8,6,16,16
8,7,30,30
8,8,33,33
8,9,31,31
8,10,24,24
8,11,23,23
8,12,21,21
8,13,19,19
8,14,17,17
8,15,16,16
8,16,12,12
8,17,9,9
8,18,14,14
8,19,23,23
8,20,37,37
8,21,33,33
8,22,32,32
8,23,30,30
8,24,30,30
8,25,30,30
8,26,28,28
8,27,23,23
8,28,21,21
8,29,16,16
8,30,34,34
8,31,53,53
8,32,74,74
8,33,58,58
8,34,49,49
8,35,45,45
8,36,44,44
8,37,43,43
8,38,41,41
8,39,36,36
8,40,28,28
8,41,20,20
8,42,41,41
8,43,75,75
8,44,146,146
8,45,130,130
8,46,116,116
8,47,110,110
8,48,102,102
9,1,25,25
9,2,11,11
9,3,10,10
9,4,8,8
9,5,7,7
9,6,8,8
9,7,17,17
9,8,20,20
9,9,14,14
9,10,14,14
9,11,13,13
9,12,13,13
9,13,13,13
9,14,13,13
9,15,11,11
9,16,9,9
9,17,9,9
9,18,14,14
9,19,34,34
9,20,50,50
9,21,46,46
9,22,41,41
9,23,39,39
9,24,36,36
9,25,35,35
9,26,34,34
9,27,33,33
9,28,28,28
9,29,24,24
9,30,51,51
9,31,99,99
9,32,177,177
9,33,162,162
9,34,138,138
9,35,129,129
9,36,122,122
9,37,115,115
9,38,110,110
9,39,103,103
9,40,81,81
9,41,64,64
9,42,128,128
9,43,261,261
9,44,442,442
9,45,395,395
9,46,343,343
9,47,314,314
9,48,303,303
10,1,27,27
10,2,11,11
10,3,7,7
10,4,6,6
10,5,2,2
10,6,7,7
10,7,13,13
10,8,9,9
10,9,9,9
10,10,9,9
10,11,9,9
10,12,9,9
10,13,9,9
10,14,9,9
10,15,7,7
10,16,6,6
10,17,6,6
10,18,13,13
10,19,19,19
10,20,25,25
10,21,21,21
10,22,18,18
10,23,18,18
10,24,17,17
10,25,17,17
10,26,16,16
10,27,16,16
10,28,13,13
10,29,11,11
10,30,20,20
10,31,42,42
10,32,70,70
10,33,65,65
10,34,56,56
10,35,52,52
10,36,50,50
10,37,49,49
10,38,43,43
10,39,39,39
10,40,33,33
10,41,27,27
10,42,52,52
10,43,96,96
10,44,152,152
10,45,137,137
10,46,120,120
10,47,115,115
10,48,113,113
11,1,25,25
11,2,11,11
11,3,11,11
11,4,10,10
11,5,7,7
11,6,13,13
11,7,26,26
11,8,27,27
11,9,26,26
11,10,23,23
11,11,20,20
11,12,19,19
11,13,18,18
11,14,17,17
11,15,17,17
11,16,14,14
11,17,13,13
11,18,19,19
11,19,26,26
11,20,34,34
11,21,31,31
11,22,28,28
11,23,27,27
11,24,27,27
11,25,27,27
11,26,23,23
11,27,19,19
11,28,13,13
11,29,10,10
11,30,22,22
11,31,38,38
11,32,64,64
11,33,55,55
