"rep","Time","Pop_size","Pop_est"
1,1,218,218
1,2,136,136
1,3,121,121
1,4,89,89
1,5,63,63
1,6,125,125
1,7,144,144
1,8,122,122
1,9,102,102
1,10,98,98
1,11,90,90
1,12,86,86
1,13,86,86
1,14,78,78
1,15,66,66
1,16,49,49
1,17,37,37
1,18,81,81
1,19,98,98
1,20,81,81
1,21,68,68
1,22,62,62
1,23,58,58
1,24,57,57
1,25,54,54
1,26,49,49
1,27,44,44
1,28,31,31
1,29,27,27
1,30,44,44
1,31,56,56
1,32,47,47
1,33,39,39
1,34,33,33
1,35,32,32
1,36,30,30
1,37,30,30
1,38,25,25
1,39,22,22
1,40,21,21
1,41,15,15
1,42,30,30
1,43,34,34
1,44,29,29
1,45,25,25
1,46,24,24
1,47,23,23
1,48,21,21
1,49,19,19
1,50,17,17
1,51,15,15
1,52,13,13
1,53,8,8
1,54,15,15
1,55,16,16
1,56,14,14
1,57,13,13
1,58,10,10
1,59,10,10
1,60,10,10
2,1,214,214
2,2,124,124
2,3,110,110
2,4,87,87
2,5,58,58
2,6,110,110
2,7,137,137
2,8,116,116
2,9,98,98
2,10,88,88
2,11,82,82
2,12,78,78
2,13,74,74
2,14,69,69
2,15,64,64
2,16,48,48
2,17,40,40
2,18,99,99
2,19,120,120
2,20,105,105
2,21,89,89
2,22,77,77
2,23,73,73
2,24,68,68
2,25,68,68
2,26,65,65
2,27,60,60
2,28,48,48
2,29,40,40
2,30,73,73
2,31,97,97
2,32,77,77
2,33,68,68
2,34,63,63
2,35,59,59
2,36,53,53
2,37,53,53
2,38,47,47
2,39,42,42
2,40,31,31
2,41,23,23
2,42,53,53
2,43,67,67
2,44,54,54
2,45,43,43
2,46,38,38
2,47,36,36
2,48,33,33
2,49,32,32
2,50,30,30
2,51,28,28
2,52,24,24
2,53,21,21
2,54,42,42
2,55,57,57
2,56,55,55
2,57,48,48
2,58,41,41
2,59,38,38
2,60,37,37
3,1,222,222
3,2,117,117
3,3,98,98
3,4,81,81
3,5,55,55
3,6,104,104
3,7,120,120
3,8,103,103
3,9,88,88
3,10,77,77
3,11,72,72
3,12,68,68
3,13,68,68
3,14,63,63
3,15,57,57
3,16,44,44
3,17,35,35
3,18,67,67
3,19,78,78
3,20,73,73
3,21,67,67
3,22,59,59
3,23,56,56
3,24,54,54
3,25,54,54
3,26,52,52
3,27,47,47
3,28,40,40
3,29,35,35
3,30,53,53
3,31,66,66
3,32,55,55
3,33,48,48
3,34,42,42
3,35,41,41
3,36,40,40
3,37,38,38
3,38,34,34
3,39,29,29
3,40,22,22
3,41,20,20
3,42,43,43
3,43,46,46
3,44,37,37
3,45,31,31
3,46,30,30
3,47,29,29
3,48,29,29
3,49,29,29
3,50,27,27
3,51,23,23
3,52,21,21
3,53,18,18
3,54,35,35
3,55,51,51
3,56,53,53
3,57,46,46
3,58,42,42
3,59,40,40
3,60,39,39
4,1,213,213
4,2,121,121
4,3,103,103
4,4,85,85
4,5,49,49
4,6,101,101
4,7,126,126
4,8,113,113
4,9,95,95
4,10,86,86
4,11,78,78
4,12,72,72
4,13,72,72
4,14,68,68
4,15,63,63
4,16,53,53
4,17,34,34
4,18,68,68
4,19,72,72
4,20,62,62
4,21,54,54
4,22,49,49
4,23,46,46
4,24,43,43
4,25,43,43
4,26,42,42
4,27,40,40
4,28,31,31
4,29,20,20
4,30,43,43
4,31,47,47
4,32,38,38
4,33,35,35
4,34,31,31
4,35,31,31
4,36,27,27
4,37,27,27
4,38,27,27
4,39,26,26
4,40,20,20
4,41,18,18
4,42,38,38
4,43,49,49
4,44,45,45
4,45,40,40
4,46,37,37
4,47,37,37
4,48,37,37
4,49,37,37
4,50,33,33
4,51,26,26
4,52,25,25
4,53,21,21
4,54,41,41
4,55,36,36
4,56,39,39
4,57,33,33
4,58,25,25
4,59,22,22
4,60,22,22
5,1,225,225
5,2,118,118
5,3,104,104
5,4,79,79
5,5,58,58
5,6,122,122
5,7,149,149
5,8,125,125
5,9,105,105
5,10,98,98
5,11,93,93
5,12,89,89
5,13,85,85
5,14,80,80
5,15,75,75
5,16,55,55
5,17,39,39
5,18,62,62
5,19,66,66
5,20,56,56
5,21,53,53
5,22,47,47
5,23,45,45
5,24,45,45
5,25,43,43
5,26,42,42
5,27,36,36
5,28,32,32
5,29,21,21
5,30,47,47
5,31,61,61
5,32,55,55
5,33,48,48
5,34,42,42
5,35,42,42
5,36,39,39
5,37,39,39
5,38,39,39
5,39,37,37
5,40,29,29
5,41,21,21
5,42,39,39
5,43,54,54
5,44,47,47
5,45,39,39
5,46,36,36
5,47,31,31
5,48,28,28
5,49,28,28
5,50,26,26
5,51,21,21
5,52,16,16
5,53,15,15
5,54,36,36
5,55,36,36
5,56,31,31
5,57,29,29
5,58,27,27
5,59,24,24
5,60,24,24
6,1,223,223
6,2,123,123
6,3,98,98
6,4,72,72
6,5,50,50
6,6,89,89
6,7,110,110
6,8,94,94
6,9,78,78
6,10,68,68
6,11,64,64
6,12,59,59
6,13,56,56
6,14,50,50
6,15,43,43
6,16,30,30
6,17,26,26
6,18,49,49
6,19,59,59
6,20,56,56
6,21,46,46
6,22,38,38
6,23,34,34
6,24,32,32
6,25,32,32
6,26,29,29
6,27,26,26
6,28,17,17
6,29,12,12
6,30,20,20
6,31,27,27
6,32,24,24
6,33,22,22
6,34,18,18
6,35,16,16
6,36,16,16
6,37,16,16
6,38,14,14
6,39,13,13
6,40,9,9
6,41,7,7
6,42,10,10
6,43,12,12
6,44,16,16
6,45,15,15
6,46,12,12
6,47,11,11
6,48,11,11
6,49,11,11
6,50,11,11
6,51,11,11
6,52,9,9
6,53,7,7
6,54,19,19
6,55,17,17
