"rep","Time","Pop_size"
1,1,225
1,2,116
1,3,98
1,4,78
1,5,53
1,6,93
1,7,114
1,8,101
1,9,89
1,10,78
1,11,78
1,12,71
1,13,71
1,14,68
1,15,61
1,16,52
1,17,42
1,18,79
1,19,102
1,20,87
1,21,81
1,22,72
1,23,66
1,24,65
1,25,62
1,26,57
1,27,55
1,28,46
1,29,39
1,30,86
1,31,96
1,32,84
1,33,73
1,34,65
1,35,63
1,36,61
1,37,61
1,38,56
1,39,46
1,40,39
1,41,31
1,42,51
1,43,61
1,44,52
1,45,45
1,46,40
1,47,35
1,48,32
1,49,30
1,50,29
1,51,28
1,52,19
1,53,16
1,54,26
1,55,35
1,56,32
1,57,28
1,58,22
1,59,21
1,60,21
2,1,221
2,2,110
2,3,94
2,4,72
2,5,50
2,6,92
2,7,114
2,8,109
2,9,92
2,10,80
2,11,77
2,12,72
2,13,69
2,14,67
2,15,56
2,16,40
2,17,34
2,18,75
2,19,93
2,20,95
2,21,76
2,22,68
2,23,62
2,24,60
2,25,59
2,26,56
2,27,48
2,28,40
2,29,26
2,30,52
2,31,56
2,32,61
2,33,52
2,34,47
2,35,45
2,36,45
2,37,44
2,38,41
2,39,39
2,40,32
2,41,25
2,42,51
2,43,62
2,44,52
2,45,45
2,46,40
2,47,37
2,48,37
2,49,37
2,50,32
2,51,28
2,52,25
2,53,20
2,54,37
2,55,40
2,56,36
2,57,31
2,58,28
2,59,26
2,60,23
3,1,212
3,2,114
3,3,102
3,4,76
3,5,51
3,6,96
3,7,115
3,8,114
3,9,93
3,10,84
3,11,81
3,12,78
3,13,76
3,14,76
3,15,70
3,16,56
3,17,44
3,18,87
3,19,120
3,20,125
3,21,109
3,22,93
3,23,86
3,24,82
3,25,79
3,26,77
3,27,69
3,28,57
3,29,46
3,30,107
3,31,127
3,32,114
3,33,102
3,34,93
3,35,88
3,36,83
3,37,82
3,38,76
3,39,69
3,40,49
3,41,36
3,42,80
3,43,83
3,44,82
3,45,68
3,46,58
3,47,52
3,48,47
3,49,44
3,50,43
3,51,41
3,52,38
3,53,30
3,54,57
3,55,68
3,56,59
3,57,51
3,58,39
3,59,38
3,60,37
4,1,219
4,2,112
4,3,102
4,4,78
4,5,55
4,6,96
4,7,127
4,8,119
4,9,99
4,10,87
4,11,84
4,12,78
4,13,76
4,14,71
4,15,61
4,16,53
4,17,43
4,18,87
4,19,93
4,20,87
4,21,76
4,22,64
4,23,59
4,24,55
4,25,53
4,26,49
4,27,47
4,28,40
4,29,32
4,30,58
4,31,68
4,32,62
4,33,56
4,34,53
4,35,52
4,36,49
4,37,48
4,38,44
4,39,40
4,40,32
4,41,22
4,42,51
4,43,59
4,44,53
4,45,45
4,46,34
4,47,32
4,48,32
4,49,32
4,50,32
4,51,27
4,52,18
4,53,11
4,54,28
4,55,25
4,56,28
4,57,24
4,58,20
4,59,19
4,60,19
5,1,210
5,2,130
5,3,112
5,4,85
5,5,60
5,6,100
5,7,107
5,8,96
5,9,85
5,10,74
5,11,72
5,12,70
5,13,65
5,14,56
5,15,50
5,16,42
5,17,30
5,18,57
5,19,72
5,20,70
5,21,61
5,22,52
5,23,52
5,24,48
5,25,47
5,26,41
5,27,40
5,28,31
5,29,24
5,30,54
5,31,69
5,32,60
5,33,52
5,34,47
5,35,42
5,36,39
5,37,37
5,38,33
5,39,29
5,40,24
5,41,18
5,42,48
5,43,53
5,44,53
5,45,47
5,46,42
5,47,38
5,48,34
5,49,33
5,50,33
5,51,31
5,52,25
5,53,18
5,54,36
5,55,48
5,56,42
5,57,36
5,58,34
5,59,31
5,60,31
6,1,215
6,2,118
6,3,103
6,4,75
6,5,49
6,6,102
6,7,132
6,8,119
6,9,105
6,10,91
6,11,89
6,12,85
6,13,84
6,14,82
6,15,74
6,16,53
6,17,32
6,18,60
6,19,65
6,20,60
6,21,51
6,22,45
6,23,39
6,24,38
6,25,36
6,26,34
6,27,32
6,28,26
6,29,19
6,30,41
6,31,54
6,32,49
6,33,44
6,34,38
6,35,37
6,36,35
6,37,34
6,38,33
6,39,27
6,40,19
6,41,16
6,42,32
6,43,38
6,44,33
6,45,26
6,46,22
6,47,22
6,48,22
6,49,22
6,50,21
6,51,18
6,52,13
6,53,12
6,54,24
6,55,25
6,56,23
6,57,21
6,58,20
6,59,19
6,60,18
7,1,211
7,2,99
7,3,90
7,4,72
7,5,55
7,6,91
7,7,105
7,8,90
7,9,81
7,10,72
7,11,66
7,12,61
7,13,61
7,14,57
7,15,51
7,16,37
7,17,28
7,18,59
7,19,80
7,20,70
7,21,65
7,22,58
7,23,55
7,24,54
7,25,53
7,26,47
7,27,43
7,28,36
7,29,29
7,30,62
7,31,75
7,32,68
7,33,58
7,34,57
7,35,52
7,36,51
7,37,48
7,38,45
7,39,38
7,40,30
7,41,27
7,42,58
7,43,62
7,44,58
7,45,51
7,46,44
7,47,39
7,48,37
7,49,36
7,50,35
7,51,29
7,52,27
7,53,23
7,54,56
7,55,60
7,56,50
7,57,43
7,58,40
7,59,38
7,60,37
8,1,227
8,2,118
8,3,106
8,4,81
8,5,56
8,6,104
8,7,120
8,8,107
8,9,96
8,10,81
8,11,76
8,12,72
8,13,70
8,14,66
8,15,61
8,16,46
8,17,30
8,18,58
8,19,70
8,20,58
8,21,51
8,22,46
8,23,46
8,24,44
8,25,43
8,26,42
8,27,37
8,28,28
8,29,22
8,30,41
8,31,38
8,32,25
8,33,23
8,34,18
8,35,18
8,36,18
8,37,18
8,38,18
8,39,16
8,40,14
8,41,9
8,42,24
