"rep","Time","Pop_size","Pop_est"
1,1,9,9
1,2,8,8
1,3,6,6
1,4,5,5
1,5,3,3
1,6,6,6
1,7,10,10
1,8,7,7
1,9,5,5
1,10,5,5
1,11,5,5
1,12,5,5
1,13,5,5
1,14,5,5
1,15,4,4
1,16,2,2
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
2,1,10,10
2,2,10,10
2,3,8,8
2,4,5,5
2,5,4,4
2,6,8,8
2,7,17,17
2,8,13,13
2,9,10,10
2,10,7,7
2,11,7,7
2,12,6,6
2,13,6,6
2,14,5,5
2,15,5,5
2,16,5,5
2,17,4,4
2,18,9,9
2,19,17,17
2,20,11,11
2,21,10,10
2,22,9,9
2,23,8,8
2,24,8,8
2,25,8,8
2,26,7,7
2,27,6,6
2,28,6,6
2,29,4,4
2,30,7,7
2,31,16,16
2,32,14,14
2,33,11,11
2,34,10,10
2,35,8,8
2,36,7,7
2,37,7,7
2,38,7,7
2,39,7,7
2,40,6,6
2,41,2,2
2,42,3,3
2,43,4,4
2,44,2,2
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
3,1,10,10
3,2,10,10
3,3,8,8
3,4,5,5
3,5,2,2
3,6,4,4
3,7,7,7
3,8,7,7
3,9,6,6
3,10,4,4
3,11,3,3
3,12,2,2
3,13,2,2
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,1,10,10
4,2,10,10
4,3,10,10
4,4,7,7
4,5,7,7
4,6,18,18
4,7,41,41
4,8,35,35
4,9,34,34
4,10,31,31
4,11,28,28
4,12,28,28
4,13,24,24
4,14,22,22
4,15,21,21
4,16,17,17
4,17,17,17
4,18,28,28
4,19,57,57
4,20,46,46
4,21,42,42
4,22,36,36
4,23,33,33
4,24,33,33
4,25,33,33
4,26,33,33
4,27,30,30
4,28,26,26
4,29,19,19
4,30,39,39
4,31,76,76
4,32,60,60
4,33,52,52
4,34,47,47
4,35,44,44
4,36,42,42
4,37,40,40
4,38,38,38
4,39,35,35
4,40,30,30
4,41,24,24
4,42,50,50
4,43,100,100
4,44,81,81
4,45,66,66
4,46,64,64
4,47,61,61
4,48,57,57
5,1,10,10
5,2,10,10
5,3,9,9
5,4,7,7
5,5,4,4
5,6,7,7
5,7,13,13
5,8,12,12
5,9,10,10
5,10,9,9
5,11,8,8
5,12,7,7
5,13,6,6
5,14,6,6
5,15,4,4
5,16,3,3
5,17,3,3
5,18,6,6
5,19,12,12
5,20,11,11
5,21,9,9
5,22,7,7
5,23,7,7
5,24,7,7
5,25,7,7
5,26,7,7
5,27,7,7
5,28,6,6
5,29,6,6
5,30,11,11
5,31,26,26
5,32,19,19
5,33,19,19
5,34,15,15
5,35,15,15
5,36,13,13
5,37,13,13
5,38,12,12
5,39,11,11
5,40,7,7
5,41,6,6
5,42,14,14
5,43,28,28
5,44,21,21
5,45,18,18
5,46,18,18
5,47,14,14
5,48,14,14
